Country,Continent,Population,Urban Population,Land Size,Poupulation Density,Yearly GNP
Afghanistan,Asia,38928346,0.25,652860,59.63,"$19,148,650,193 "
Albania,Europe,2877797,0.63,27400,105.03,"$13,936,110,159 "
Algeria,Africa,43851044,0.73,2381740,18.41,"$168,243,973,607 "
Angola,Africa,32866272,0.67,1246700,26.36,"$98,895,545,962 "
Argentina,South America,45195774,0.93,2736690,16.51,"$550,426,447,811 "
Armenia,Asia,2963243,0.63,28470,104.08,"$12,539,458,317 "
Aruba,North America,106766,0.44,180,593.14,$0 
Australia,Oceania,25499884,0.86,7682300,3.32,"$1,328,936,835,420 "
Austria,Europe,9006398,0.57,82409,109.29,"$433,891,640,509 "
Azerbaijan,Europe,10139177,0.56,82658,122.66,"$40,401,421,784 "
Bahamas,North America,393244,0.86,10010,39.29,"$12,335,438,421 "
Bahrain,Asia,1701575,0.89,760,2238.91,"$34,393,630,981 "
Bangladesh,Asia,164689383,0.39,130170,1265.19,"$282,036,367,903 "
Barbados,North America,287375,0.31,430,668.31,"$4,787,753,385 "
Belarus,Europe,9449323,0.79,202910,46.57,"$54,079,877,293 "
Belgium,Europe,11589623,0.98,30280,382.75,"$526,820,367,413 "
Belize,North America,397628,0.46,22810,17.43,"$1,704,443,627 "
Benin,Africa,12123200,0.48,112760,107.51,"$13,735,899,664 "
Bermuda,North America,62278,0.97,50,1245.56,"$7,478,205,654 "
Bhutan,Asia,771608,0.46,38117,20.24,"$2,239,947,743 "
Bolivia,South America,11673021,0.69,1083300,10.78,"$38,242,657,845 "
Bosnia,Europe,3280819,0.52,51000,64.33,"$19,167,738,271 "
Botswana,Africa,2351627,0.73,566730,4.15,"$16,551,586,800 "
Brazil,South America,212559417,0.88,8358140,25.43,"$1,902,286,218,698 "
Brunei,Asia,437479,0.8,5270,83.01,"$12,605,129,537 "
Bulgaria,Europe,6948445,0.76,108560,64.01,"$60,122,091,896 "
Burkina Faso,Africa,20903273,0.31,273600,76.4,"$14,738,547,605 "
Burundi,Africa,11890784,0.14,25680,463.04,"$3,136,470,012 "
Cambodia,Asia,16718965,0.24,176520,94.71,"$22,460,314,785 "
Cameroon,Africa,26545863,0.56,472710,56.16,"$36,476,494,287 "
