Date,Country,City,Category,Product,Quantity,Sales Amount
2018-01-01 00:00:00,France,Paris,Fruits,Apples,1,0.75
2018-01-02 00:00:00,France,Paris,Fruits,Apples,6,4.5
2018-01-02 00:00:00,France,Paris,Fruits,Bananas,2,1.9
2018-01-04 00:00:00,France,Paris,Dairy,Milk,4,10
2018-01-04 00:00:00,France,Paris,Fruits,Bananas,4,3.8
2018-01-04 00:00:00,France,Paris,Fruits,Bananas,6,5.7
2018-01-05 00:00:00,France,Paris,Fruits,Bananas,2,1.9
2018-01-05 00:00:00,France,Paris,Fruits,Bananas,6,5.7
2018-01-05 00:00:00,France,Paris,Vegetables,Cucumbers,3,6.75
2018-01-06 00:00:00,France,Paris,Fruits,Apples,6,4.5
2018-01-06 00:00:00,France,Paris,Vegetables,Carrots,6,5.7
2018-01-08 00:00:00,France,Paris,Dairy,Cheese,8,30
2018-01-08 00:00:00,France,Paris,Vegetables,Carrots,4,3.8
2018-01-11 00:00:00,France,Paris,Fruits,Apples,2,1.5
2018-01-11 00:00:00,France,Paris,Fruits,Bananas,2,1.9
2018-01-11 00:00:00,France,Paris,Fruits,Oranges,3,3.75
2018-01-11 00:00:00,France,Paris,Fruits,Oranges,5,6.25
2018-01-11 00:00:00,France,Paris,Vegetables,Potatoes,1,1.25
2018-01-11 00:00:00,France,Paris,Vegetables,Potatoes,6,7.5
2018-01-11 00:00:00,France,Paris,Vegetables,Potatoes,7,8.75
2018-01-12 00:00:00,France,Paris,Vegetables,Cucumbers,2,4.5
2018-01-13 00:00:00,France,Paris,Dairy,Butter,1,2.25
2018-01-13 00:00:00,France,Paris,Dairy,Milk,2,5
2018-01-13 00:00:00,France,Paris,Dairy,Milk,5,12.5
2018-01-13 00:00:00,France,Paris,Fruits,Bananas,1,0.95
2018-01-13 00:00:00,France,Paris,Fruits,Bananas,5,4.75
2018-01-13 00:00:00,France,Paris,Fruits,Oranges,2,2.5
2018-01-13 00:00:00,France,Paris,Vegetables,Carrots,4,3.8
2018-01-15 00:00:00,France,Paris,Dairy,Butter,7,15.75
2018-01-15 00:00:00,France,Paris,Dairy,Milk,4,10
2018-01-15 00:00:00,France,Paris,Dairy,Milk,5,12.5
2018-01-15 00:00:00,France,Paris,Fruits,Apples,7,5.25
2018-01-15 00:00:00,France,Paris,Fruits,Bananas,7,6.65
2018-01-16 00:00:00,France,Paris,Dairy,Butter,4,9
2018-01-16 00:00:00,France,Paris,Fruits,Apples,8,6
