Category,County,Countycode,Group,Plannedsales,Price,Saledate,Shipdate,Sku,Ts,Usercity,Usergender,Userincome,Usersentiment,Userstate,Zipcode
Business,Gregg,48183,Books,9.590400696,21,2021-01-05T13:37:37,2021-01-06T13:37:37,ZD111130,2021-01-04T13:37:37,Longview,Male,"$50,000 to $75,000",-1,Texas,75606
Arts,Macomb,26099,Books,15.98400021,21,2021-01-05T13:37:39,2021-01-06T13:37:39,ZD111115,2021-01-04T13:37:39,Armada,Female,"$0 to $25,000",0,Michigan,48015
Camcorders,Bedford,47003,Electronics,792.8063965,1106,2021-01-05T13:37:40,2021-01-06T13:37:40,ZD111305,2021-01-04T13:37:40,Bell Buckle,Female,"$0 to $25,000",-1,Tennessee,37180
Romance,Hamilton,39061,Books,15.1848011,26,2021-01-05T13:37:42,2021-01-06T13:37:42,ZD111237,2021-01-04T13:37:42,Addyston,Male,"$0 to $25,000",0,Ohio,45001
Scanners,Greenville,45045,Electronics,136.663208,250,2021-01-05T13:37:45,2021-01-06T13:37:45,ZD111383,2021-01-04T13:37:45,Greenville,Female,"$100,000 or more",1,South Carolina,29611
Diamonds,Livingston,17105,Jewelry,182.2176056,325,2021-01-05T13:37:46,2021-01-06T13:37:46,ZD111433,2021-01-04T13:37:46,Dwight,Female,"$25,000 to $50,000",0,Illinois,61764
Computers,Macomb,26099,Books,11.98799992,20,2021-01-05T13:37:52,2021-01-06T13:37:52,ZD111139,2021-01-04T13:37:52,Armada,Female,"$100,000 or more",-1,Michigan,48050
Sports,DeSoto,28033,Books,13.58640099,24,2021-01-05T13:37:54,2021-01-06T13:37:54,ZD111265,2021-01-04T13:37:54,Hernando,Female,"$25,000 to $50,000",0,Mississippi,38654
Fiction,Columbiana,39029,Books,15.1848011,29,2021-01-05T13:37:55,2021-01-06T13:37:55,ZD111175,2021-01-04T13:37:55,East Liverpool,Female,"$0 to $25,000",0,Ohio,44634
Loose Stones,Cuyahoga,39035,Jewelry,1350.648071,2729,2021-01-05T13:37:56,2021-01-06T13:37:56,ZD111476,2021-01-04T13:37:56,Berea,Male,"$25,000 to $50,000",1,Ohio,44106
Romance,Scott,47151,Books,15.1848011,30,2021-01-05T13:38:06,2021-01-06T13:38:06,ZD111240,2021-01-04T13:38:06,Elgin,Male,"$50,000 to $75,000",0,Tennessee,37841
Sports-Apparel,Logan,39091,Men,48.75120544,70,2021-01-05T13:38:07,2021-01-06T13:38:07,ZD111571,2021-01-04T13:38:07,Belle Center,Male,"$25,000 to $50,000",0,Ohio,43343
Gold,Armstrong,48011,Jewelry,1482.515991,2255,2021-01-05T13:38:08,2021-01-06T13:38:08,ZD111452,2021-01-04T13:38:08,Claude,Male,"$50,000 to $75,000",0,Texas,79019
Womens Watch,Jackson,29095,Jewelry,2213.78418,3671,2021-01-05T13:38:10,2021-01-06T13:38:10,ZD111521,2021-01-04T13:38:10,Blue Springs,Female,"$50,000 to $75,000",1,Missouri,64054
Entertainments,Menifee,21165,Books,13.58640099,22,2021-01-05T13:38:14,2021-01-06T13:38:14,ZD111158,2021-01-04T13:38:14,Denniston,Male,"$50,000 to $75,000",-1,Kentucky,40387
Travel,Pontotoc,28115,Books,10.38960075,18,2021-01-05T13:38:16,2021-01-06T13:38:16,ZD111283,2021-01-04T13:38:16,Algoma,Female,"$50,000 to $75,000",0,Mississippi,38841
Home Repair,Vermilion,17183,Books,3.996000051,6,2021-01-05T13:38:17,2021-01-06T13:38:17,ZD111194,2021-01-04T13:38:17,East Lynn,Female,"$25,000 to $50,000",0,Illinois,61841
Arts,Creek,40037,Books,4.795200348,8,2021-01-05T13:38:20,2021-01-06T13:38:20,ZD111114,2021-01-04T13:38:20,Bristow,Female,"$0 to $25,000",1,Oklahoma,74067
Earrings,Williamson,48491,Jewelry,903.0960083,1457,2021-01-05T13:38:21,2021-01-06T13:38:21,ZD111445,2021-01-04T13:38:21,Florence,Female,"$50,000 to $75,000",-1,Texas,78674
Disk Drives,Dallas,48113,Electronics,83.11680603,155,2021-01-05T13:38:30,2021-01-06T13:38:30,ZD111326,2021-01-04T13:38:30,Addison,Male,"$25,000 to $50,000",0,Texas,75206
Mens Watch,Fort Bend,48157,Jewelry,111.0888062,182,2021-01-05T13:38:35,2021-01-06T13:38:35,ZD111490,2021-01-04T13:38:35,Richmond,Male,"$0 to $25,000",-1,Texas,77417
Fiction,Noble,18113,Books,8.791200638,11,2021-01-05T13:38:36,2021-01-06T13:38:36,ZD111174,2021-01-04T13:38:36,Albion,Male,"$0 to $25,000",1,Indiana,46755
Entertainments,Fayette,21067,Books,14.38560009,21,2021-01-05T13:38:38,2021-01-06T13:38:38,ZD111159,2021-01-04T13:38:38,Lexington,Male,"$25,000 to $50,000",-1,Kentucky,40522
Science,Kay,40071,Books,14.38560009,24,2021-01-05T13:38:42,2021-01-06T13:38:42,ZD111251,2021-01-04T13:38:42,Ponca City,Female,"$100,000 or more",1,Oklahoma,74601
Loose Stones,Washtenaw,26161,Jewelry,1008.590454,1998,2021-01-05T13:38:45,2021-01-06T13:38:45,ZD111483,2021-01-04T13:38:45,Ann Arbor,Male,"$50,000 to $75,000",1,Michigan,48130
Wireless,Cascade,30013,Electronics,519.4800415,665,2021-01-05T13:38:47,2021-01-06T13:38:47,ZD111415,2021-01-04T13:38:47,Great Falls,Male,"$50,000 to $75,000",1,Montana,59480
Maternity,Marion,18097,Women,60.73920441,81,2021-01-05T13:38:48,2021-01-06T13:38:48,ZD111605,2021-01-04T13:38:48,Beech Grove,Male,"$50,000 to $75,000",1,Indiana,46218
Home Repair,Ingham,26065,Books,10.38960075,14,2021-01-05T13:38:51,2021-01-06T13:38:51,ZD111190,2021-01-04T13:38:51,Okemos,Female,"$75,000 to $100,000",0,Michigan,48901
Audio,Dallas,48113,Electronics,593.805603,991,2021-01-05T13:38:52,2021-01-06T13:38:52,ZD111294,2021-01-04T13:38:52,Addison,Female,"$100,000 or more",-1,Texas,75182
Home Repair,Hamblen,47063,Books,3.996000051,5,2021-01-05T13:38:55,2021-01-06T13:38:55,ZD111192,2021-01-04T13:38:55,Lowland,Female,"$50,000 to $75,000",1,Tennessee,37778
Accessories,Polk,19153,Men,54.34560394,79,2021-01-05T13:38:59,2021-01-06T13:38:59,ZD111529,2021-01-04T13:38:59,Alleman,Female,"$0 to $25,000",1,Iowa,50303
Dvd/Vcr Players,Lawrence,29109,Electronics,93.50640869,158,2021-01-05T13:39:06,2021-01-06T13:39:06,ZD111341,2021-01-04T13:39:06,Aurora,Female,"$25,000 to $50,000",-1,Missouri,65756
Business,Clark,21049,Books,11.18880081,24,2021-01-05T13:39:09,2021-01-06T13:39:09,ZD111122,2021-01-04T13:39:09,Ford,Male,"$25,000 to $50,000",-1,Kentucky,40320
Fragrances,Bexar,48029,Women,56.74320221,125,2021-01-05T13:39:10,2021-01-06T13:39:10,ZD111592,2021-01-04T13:39:10,Atascosa,Male,"$50,000 to $75,000",1,Texas,78205
Bracelets,Muskegon,26121,Jewelry,1138.860107,1960,2021-01-05T13:39:11,2021-01-06T13:39:11,ZD111419,2021-01-04T13:39:11,Bailey,Male,"$0 to $25,000",-1,Michigan,49441
Swimwear,Lowndes,28087,Women,72.72720337,114,2021-01-05T13:39:12,2021-01-06T13:39:12,ZD111609,2021-01-04T13:39:12,Columbus,Female,"$0 to $25,000",1,Mississippi,39705
Pendants,Henry,18065,Jewelry,399.6000061,859,2021-01-05T13:39:15,2021-01-06T13:39:15,ZD111503,2021-01-04T13:39:15,Knightstown,Male,"$25,000 to $50,000",-1,Indiana,47362
Scanners,Marion,20115,Electronics,88.71121216,152,2021-01-05T13:39:16,2021-01-06T13:39:16,ZD111384,2021-01-04T13:39:16,Burns,Male,"$25,000 to $50,000",0,Kansas,67438
Rings,Hennepin,27053,Jewelry,340.459198,588,2021-01-05T13:39:18,2021-01-06T13:39:18,ZD111509,2021-01-04T13:39:18,Saint Paul,Female,"$100,000 or more",-1,Minnesota,55569
Dvd/Vcr Players,Cook,17031,Electronics,92.70720673,141,2021-01-05T13:39:19,2021-01-06T13:39:19,ZD111334,2021-01-04T13:39:19,Arlington Heights,Male,"$50,000 to $75,000",0,Illinois,60687
Mens Watch,Dakota,27037,Jewelry,573.8256226,1025,2021-01-05T13:39:30,2021-01-06T13:39:30,ZD111485,2021-01-04T13:39:30,Castle Rock,Female,"$0 to $25,000",0,Minnesota,55033
Cameras,Cook,17031,Electronics,676.9224243,890,2021-01-05T13:39:31,2021-01-06T13:39:31,ZD111310,2021-01-04T13:39:31,Arlington Heights,Female,"$75,000 to $100,000",0,Illinois,60483
Home Repair,Lucas,39095,Books,5.594400406,7,2021-01-05T13:39:36,2021-01-06T13:39:36,ZD111191,2021-01-04T13:39:36,Harbor View,Female,"$50,000 to $75,000",-1,Ohio,43618
Womens Watch,Lake,18089,Jewelry,1731.866577,2316,2021-01-05T13:39:37,2021-01-06T13:39:37,ZD111522,2021-01-04T13:39:37,Cedar Lake,Female,"$25,000 to $50,000",-1,Indiana,46308
Reference,Montgomery,47125,Books,9.590400696,20,2021-01-05T13:39:39,2021-01-06T13:39:39,ZD111227,2021-01-04T13:39:39,Clarksville,Female,"$75,000 to $100,000",0,Tennessee,37171
Womens Watch,Hennepin,27053,Jewelry,931.0679932,1721,2021-01-05T13:39:40,2021-01-06T13:39:40,ZD111528,2021-01-04T13:39:40,Saint Paul,Male,"$0 to $25,000",0,Minnesota,55311
Memory,Medina,48325,Electronics,127.8720016,179,2021-01-05T13:39:41,2021-01-06T13:39:41,ZD111352,2021-01-04T13:39:41,Castroville,Male,"$75,000 to $100,000",1,Texas,78066
Rings,Wayne,26163,Jewelry,593.805603,784,2021-01-05T13:39:42,2021-01-06T13:39:42,ZD111513,2021-01-04T13:39:42,Allen Park,Male,"$25,000 to $50,000",0,Michigan,48168
Swimwear,Horry,45051,Women,65.53440094,89,2021-01-05T13:39:50,2021-01-06T13:39:50,ZD111616,2021-01-04T13:39:50,Aynor,Female,"$25,000 to $50,000",0,South Carolina,29575
Accessories,Harris,48201,Men,54.34560394,125,2021-01-05T13:39:54,2021-01-06T13:39:54,ZD111532,2021-01-04T13:39:54,Houston,Male,"$25,000 to $50,000",1,Texas,77043
Business,Fremont,56013,Books,15.1848011,25,2021-01-05T13:39:56,2021-01-06T13:39:56,ZD111125,2021-01-04T13:39:56,Jeffrey City,Male,"$0 to $25,000",1,Wyoming,82516
Swimwear,Woodbury,19193,Women,65.53440094,106,2021-01-05T13:39:58,2021-01-06T13:39:58,ZD111616,2021-01-04T13:39:58,Anthon,Female,"$25,000 to $50,000",-1,Iowa,51018
Audio,Jackson,29095,Electronics,429.969635,711,2021-01-05T13:40:01,2021-01-06T13:40:01,ZD111289,2021-01-04T13:40:01,Blue Springs,Male,"$50,000 to $75,000",1,Missouri,64127
Sports,Pike County,28113,Books,13.58640099,21,2021-01-05T13:40:03,2021-01-06T13:40:03,ZD111274,2021-01-04T13:40:03,Mineral Wells,Female,"$0 to $25,000",-1,Mississippi,38648
Mens Watch,El Paso,48141,Jewelry,573.8256226,744,2021-01-05T13:40:05,2021-01-06T13:40:05,ZD111485,2021-01-04T13:40:05,Anthony,Female,"$0 to $25,000",0,Texas,88556
Swimwear,Tulsa,40143,Women,55.94400024,96,2021-01-05T13:40:07,2021-01-06T13:40:07,ZD111611,2021-01-04T13:40:07,Bixby,Male,"$50,000 to $75,000",-1,Oklahoma,74115
Audio,Grant,21081,Electronics,772.826416,984,2021-01-05T13:40:08,2021-01-06T13:40:08,ZD111295,2021-01-04T13:40:08,Corinth,Female,"$50,000 to $75,000",-1,Kentucky,41010
Fragrances,Hardin,19083,Women,56.74320221,77,2021-01-05T13:40:10,2021-01-06T13:40:10,ZD111592,2021-01-04T13:40:10,Alden,Female,"$50,000 to $75,000",-1,Iowa,50206
Gold,Madison,18095,Jewelry,665.7336426,1172,2021-01-05T13:40:13,2021-01-06T13:40:13,ZD111459,2021-01-04T13:40:13,Alexandria,Male,"$25,000 to $50,000",1,Indiana,46001
Accessories,Carbon County,56007,Men,69.53040314,110,2021-01-05T13:40:19,2021-01-06T13:40:19,ZD111531,2021-01-04T13:40:19,McFadden,Male,"$25,000 to $50,000",-1,Wyoming,82332
Business,Rogers,40131,Books,7.992000103,16,2021-01-05T13:40:20,2021-01-06T13:40:20,ZD111129,2021-01-04T13:40:20,Catoosa,Male,"$50,000 to $75,000",-1,Oklahoma,74017
Dvd/Vcr Players,Lorain,39093,Electronics,93.50640869,177,2021-01-05T13:40:22,2021-01-06T13:40:22,ZD111341,2021-01-04T13:40:22,Amherst,Male,"$0 to $25,000",0,Ohio,44090
Audio,Pembina,38067,Electronics,557.0424194,953,2021-01-05T13:40:25,2021-01-06T13:40:25,ZD111293,2021-01-04T13:40:25,Bathgate,Male,"$25,000 to $50,000",-1,North Dakota,58276
Pendants,Sumter County,45085,Jewelry,1034.964111,1640,2021-01-05T13:40:27,2021-01-06T13:40:27,ZD111504,2021-01-04T13:40:27,Borden,Female,"$50,000 to $75,000",-1,South Carolina,29151
Business,Rogers,40131,Books,15.1848011,29,2021-01-05T13:40:29,2021-01-06T13:40:29,ZD111123,2021-01-04T13:40:29,Catoosa,Female,"$50,000 to $75,000",0,Oklahoma,74036
Swimwear,Newton,29145,Women,77.5223999,119,2021-01-05T13:40:31,2021-01-06T13:40:31,ZD111615,2021-01-04T13:40:31,Diamond,Female,"$0 to $25,000",0,Missouri,64864
Gold,Scott,28123,Jewelry,986.2128296,1550,2021-01-05T13:40:37,2021-01-06T13:40:37,ZD111462,2021-01-04T13:40:37,Forest,Female,"$0 to $25,000",1,Mississippi,39087
Rings,Georgetown,45043,Jewelry,699.2999878,974,2021-01-05T13:40:42,2021-01-06T13:40:42,ZD111514,2021-01-04T13:40:42,Georgetown,Female,"$0 to $25,000",1,South Carolina,29576
Monitors,Champaign,17019,Electronics,131.8680115,222,2021-01-05T13:40:44,2021-01-06T13:40:44,ZD111359,2021-01-04T13:40:44,Ludlow,Male,"$0 to $25,000",0,Illinois,61878
History,Coffey,20031,Books,11.18880081,15,2021-01-05T13:40:45,2021-01-06T13:40:45,ZD111184,2021-01-04T13:40:45,Burlington,Female,"$75,000 to $100,000",0,Kansas,66857
Memory,Davidson,47037,Electronics,120.6792068,194,2021-01-05T13:40:46,2021-01-06T13:40:46,ZD111344,2021-01-04T13:40:46,Antioch,Male,"$50,000 to $75,000",0,Tennessee,37219
Jewelry Boxes,Bexar,48029,Jewelry,149.4504089,338,2021-01-05T13:40:48,2021-01-06T13:40:48,ZD111470,2021-01-04T13:40:48,Atascosa,Male,"$50,000 to $75,000",1,Texas,78244
Womens Watch,Hidalgo,48215,Jewelry,1942.855347,2902,2021-01-05T13:40:49,2021-01-06T13:40:49,ZD111520,2021-01-04T13:40:49,Mcallen,Male,"$25,000 to $50,000",-1,Texas,78565
Diamonds,Tangipahoa,22105,Jewelry,1448.949707,2524,2021-01-05T13:40:50,2021-01-06T13:40:50,ZD111436,2021-01-04T13:40:50,Hammond,Female,"$75,000 to $100,000",0,Louisiana,70465
Self-Help,Greenville,45045,Books,8.791200638,18,2021-01-05T13:40:51,2021-01-06T13:40:51,ZD111260,2021-01-04T13:40:51,Greenville,Female,"$25,000 to $50,000",0,South Carolina,29651
Sports,Vanderburgh,18163,Books,9.590400696,19,2021-01-05T13:40:54,2021-01-06T13:40:54,ZD111267,2021-01-04T13:40:54,Inglefield,Male,"$0 to $25,000",0,Indiana,47725
