Category,County,Countycode,Group,Plannedsales,Price,Saledate,Shipdate,Sku,Ts,Usercity,Usergender,Userincome,Usersentiment,Userstate,Zipcode
Self-Help,Monterey,6053,Books,6.393600464,10,2021-01-05T13:37:43,2021-01-06T13:37:43,ZD111258,2021-01-04T13:37:43,Bradley,Female,"$100,000 or more",0,California,93925
Earrings,Pima,4019,Jewelry,826.3728638,1658,2021-01-05T13:37:44,2021-01-06T13:37:44,ZD111448,2021-01-04T13:37:44,Ajo,Male,"$0 to $25,000",1,Arizona,85755
Camcorders,Maricopa,4013,Electronics,760.8384399,1234,2021-01-05T13:37:57,2021-01-06T13:37:57,ZD111300,2021-01-04T13:37:57,Phoenix,Male,"$0 to $25,000",1,Arizona,85036
Televisions,Washoe,32031,Electronics,473.1264343,609,2021-01-05T13:37:58,2021-01-06T13:37:58,ZD111407,2021-01-04T13:37:58,Crystal Bay,Female,"$25,000 to $50,000",0,Nevada,89501
Cameras,Orange,6059,Electronics,565.8336182,801,2021-01-05T13:37:59,2021-01-06T13:37:59,ZD111318,2021-01-04T13:37:59,Buena Park,Female,"$0 to $25,000",-1,California,92712
Monitors,Orange,6059,Electronics,112.6872101,164,2021-01-05T13:38:09,2021-01-06T13:38:09,ZD111361,2021-01-04T13:38:09,Buena Park,Male,"$0 to $25,000",1,California,92674
Memory,Mohave,4015,Electronics,87.1128006,129,2021-01-05T13:38:11,2021-01-06T13:38:11,ZD111346,2021-01-04T13:38:11,Wikieup,Male,"$25,000 to $50,000",-1,Arizona,86412
Pendants,Lake,8065,Jewelry,1420.977661,2093,2021-01-05T13:38:22,2021-01-06T13:38:22,ZD111497,2021-01-04T13:38:22,Climax,Female,"$75,000 to $100,000",1,Colorado,80429
Disk Drives,Pima,4019,Electronics,138.2616119,265,2021-01-05T13:38:23,2021-01-06T13:38:23,ZD111322,2021-01-04T13:38:23,Ajo,Female,"$25,000 to $50,000",-1,Arizona,85714
Disk Drives,San Bernardino,6071,Electronics,108.6912079,193,2021-01-05T13:38:26,2021-01-06T13:38:26,ZD111328,2021-01-04T13:38:26,Alta Loma,Male,"$25,000 to $50,000",0,California,91737
Cooking,Sacramento,6067,Books,15.98400021,24,2021-01-05T13:38:27,2021-01-06T13:38:27,ZD111152,2021-01-04T13:38:27,Sacramento,Female,"$0 to $25,000",0,California,95743
Portable,Navajo,4017,Electronics,156.6432037,210,2021-01-05T13:38:33,2021-01-06T13:38:33,ZD111364,2021-01-04T13:38:33,Show Low,Male,"$50,000 to $75,000",-1,Arizona,85926
Business,Arapahoe,8005,Books,15.1848011,25,2021-01-05T13:38:40,2021-01-06T13:38:40,ZD111126,2021-01-04T13:38:40,Aurora,Female,"$25,000 to $50,000",1,Colorado,80105
